Source,Target,Interaction
BPTF,SLC25A37,?
BPTF,SLC2A1,?
BPTF,SPRED1,?
BPTF,SPTAN1,?
BPTF,SPTBN5,?
BPTF,SRPK1,?
BPTF,SSBP2,?
BPTF,STAT5B,?
BPTF,STX1B,?
BPTF,STXBP5,?
BPTF,TCERG1,?
BPTF,TEAD1,?
BPTF,TENM4,?
BPTF,TIAL1,?
BPTF,TLN1,?
BPTF,TRAK1,?
BPTF,UBE2Q2,?
BPTF,UBE3A,?
BPTF,USP9X,?
BPTF,WDYHV1,?
BRCA2,KAG9282298.1,?
BRCA2,PSMD3,?
BRIP1,MLH1,?
BTAF1,DR1,-
BTAF1,TBP,-
KAG9266687.1,ATM,+
KAG9266687.1,EPHB2,+
KAG9266687.1,SSPN,-
BTG1,CCND1,-
BTG1,CREB1,+
BTG1,HRAS,-
BTG1,SPHK1,+
CBFB,GATA2,?
CBFB,RUNX2,?
CDC5L,PLRG1,?
CDX1,DSC1,?
CDX1,IRF2BP2B,?
CDX1,PCNA,+
CDX1,PPARG,+
CDX1,PTGS2,+
CDX1,TBP,?
CEBPA,BCL2,-
CEBPA,CCL11,+
CEBPA,CFLAR,+
CEBPA,CRABP2,-
CEBPA,CRMP1,?
CEBPA,CSF3R,+
CEBPA,CXCR1,?
CEBPA,CYP3A30,?
CEBPA,F9,+
CEBPA,GAPDH,?
CEBPA,HSPA4,+
CEBPA,ID1,?
CEBPA,IGF2,?
CEBPA,IL10,?
CEBPA,INSR,+
CEBPA,ITGAX,+
CEBPA,KAG9280168.1,+
CEBPA,MAD1L1,?
CEBPA,MSTNB,?
CEBPA,MYCB,-
CEBPA,NFKB1,+
CEBPA,NR1H3,?
CEBPA,PCK1,+
CEBPA,PRL,?
CEBPA,PTGS2,+
CEBPA,SERPINC1,+
CEBPA,SLC10A1,?
CEBPA,SOCS3,+
CEBPA,SPI1,?
CEBPA,STAR,+
CEBPA,STAT3,?
CEBPA,TLR9,?
CEBPA,VLDLR,?
CEBPA,ZBTB16A,?
CEBPD,C3,?
CEBPD,CASP8,?
CEBPD,CCL20,+
CEBPD,CYP19A1,-
CEBPD,GADD45G,?
CEBPD,GAPDH,?
CEBPD,PDGFRA,?
CEBPD,PPARG,+
CEBPD,PRL,?
CEBPD,PTGS2,?
CEBPD,SOD1,+
CEBPD,TNF,?
CEBPG,CEBPA,-
CEBPG,HBB2,?
CEBPZ,APC,+
CEBPZ,COL11A1,-
CEBPZ,MCPT4,?
CEBPZ,MLH1,-
CEBPZ,SOX9,?
CERS5,ATP6V1C1A,?
CERS5,GNB1,?
CERS5,KAG9265194.1,?
CERS5,MIB1,?
CERS5,WNT3A,?
CHD5,JUN,-
CHD7,JAG1B,+
CHD8,CCNE2,+
CHD8,HOXA2B,?
CHD8,MYCB,?
CHD8,TYMS,?
CIITA,CREBBP,?
CIITA,FASLG,?
CIITA,H2-AA,+
CIITA,IRF1,?
CIITA,IRF2,?
CIITA,KAG9261548.1,+
CIITA,KAG9270537.1,?
CIITA,KAG9275887.1,-
CIITA,MMP9,-
CIITA,PLXNA2,?
CIITA,PSMC5,+
CIITA,RAB4B,?
CIITA,SLC26A3,?
CITED3,CEBPA,+
CITED3,KAG9260855.1,+
CITED3,LDHBA,+
CITED3,LDHD,+
CITED3,MMP13,-
CITED3,MMP9,+
CITED3,PDK3,+
CITED3,PPARG,+
CITED3,WNT4A,+
CLOCK,BHLHE40,+
CLOCK,BHLHE41,+
CLOCK,CRY1,+
CLOCK,CRY2,+
CLOCK,KAG9260254.1,+
CLOCK,KAG9274369.1,+
CLOCK,KAG9278600.1,+
CLOCK,KAT5,?
CLOCK,MAO,?
CLOCK,NAMPT,+
CLOCK,NR0B2,+
CLOCK,SERPINE1,+
CLOCK,SERPINE2,+
CLOCK,STAR,+
CLOCK,THBD,?
CLOCK,TPO,?
CLOCK,VWF,?
CNOT8,PMP22,?
COPS5,CDKN1A,-
CRABP2,RARA,+
CREB1,ACACB,+
CREB1,ACSL4,?
CREB1,BCL2,+
CREB1,BCL2L11,?
CREB1,BDKRB2,?
CREB1,CASP8,+
CREB1,CCK,?
CREB1,CFTR,?
CREB1,CGA,?
CREB1,CLDN11,?
CREB1,CRTC1,?
CREB1,CRTC2,?
CREB1,CYP11A1,?
CREB1,CYP11B,?
CREB1,CYP17A1,?
CREB1,CYP19A1,+
CREB1,ENTPD1,+
CREB1,ERBB2,?
CREB1,ESR1,?
CREB1,FLT1,?
CREB1,FOS,?
CREB1,FOXA1,?
CREB1,GABPA,?
CREB1,GRPR,+
CREB1,GSK3B,?
CREB1,HSPA5,+
CREB1,IL10,+
CREB1,IL5RA,?
CREB1,JUN,-
CREB1,KAG9265893.1,?
CREB1,KAG9268785.1,+
CREB1,KAG9269893.1,-
CREB1,KAG9266355.1,+
CREB1,LAPTM4B,?
CREB1,LDHA,?
CREB1,MC2R,+
CREB1,MIF,+
CREB1,MITF,+
CREB1,MMP2,?
CREB1,NECTIN2,?
CREB1,NF1,?
CREB1,NMNAT2,?
CREB1,NOCT,+
CREB1,NPY,?
CREB1,NR2F1A,-
CREB1,NR2F6,-
CREB1,NR4A3,?
CREB1,NR5A2,+
CREB1,NRF1,?
CREB1,NTS,?
CREB1,ODC1,?
CREB1,PCSK1,+
CREB1,PDE3B,?
CREB1,PENK,?
CREB1,PLAU,?
CREB1,POLD2,?
CREB1,PPM1D,?
CREB1,PPP2CB,+
CREB1,PRL,?
CREB1,PSEN1,+
CREB1,PTGES,?
CREB1,PTGS2,+
CREB1,REN,+
CREB1,SLC19A1,?
CREB1,SLC20A1B,+
CREB1,SLC22A6,?
CREB1,SLC39A1,?
CREB1,SNAI2,-
CREB1,SOX9,?
CREB1,TH,?
CREB1,TLR9,?
CREB1,UXT,+
CREB1,XPC,?
CREB3L4,EDEM1,+
CREB3L4,KAG9274832.1,?
CREB5,ATP6V0E1,+
CREB5,CFB,+
CREB5,LGALS3BPB,-
CREB5,MAPKAPK2,+
CREB5,RASGRP3,-
CREB5,TGFBR3,+
CREB5,TNFRSF11B,-
CREBBP,CCK,?
CREBBP,CDKN1A,+
CREBBP,CREB1,+
CREBBP,ERBB4,?
CREBBP,EP300,?
CREBBP,HINFP,+
CREBBP,HOXA10B,+
CREBBP,INSM1A,+
CREBBP,IRF1,+
CREBBP,KAG9275887.1,?
CREBBP,KAG9282298.1,?
CREBBP,PPARA,?
CREBBP,PSMC5,+
CREBBP,PTGS2,?
CREBBP,RARA,?
CREBBP,TP53,?
CREBBP,XLRS1,?
CREG1,HSPA4,-
CRY1,KAG9278600.1,?
CTBP1,BRCA2,-
CTBP1,CLDN7A,-
CTBP1,KRT18,?
CTCF,ASAP2,?
CTCF,ATXN7,?
CTCF,BCL6,-
CTCF,CCND1,?
CTCF,IGF2,?
CTCF,IPO13,?
CTCF,KAG9279880.1,?
CTCF,MYCB,+
CTCF,NF1,?
CTCF,PAX6A,-
CTCF,PTPRG,?
CTCF,RBL2,?
CTCF,SLC6A4,?
CTNNB1,CASP3,?
CTNNB1,CCND1,+
CTNNB1,CCNE1,+
CTNNB1,CDX4,?
CTNNB1,CGBB,+
CTNNB1,CYP19A1,+
CTNNB1,CYP2G1,+
CTNNB1,EPHB2,?
CTNNB1,FGF8A,?
CTNNB1,FGFBP1,+
CTNNB1,FOXA2,-
CTNNB1,GJA1,+
CTNNB1,GLUL,+
CTNNB1,GREM2,+
CTNNB1,IHHB,-
CTNNB1,INHA,?
CTNNB1,LEF1,+
CTNNB1,MET,?
CTNNB1,MITF,?
CTNNB1,MMP13,+
CTNNB1,MYF-5,+
CTNNB1,PDGFRA,?
CTNNB1,PITX3,+
CTNNB1,PTGS2,+
CTNNB1,SLC2A1,+
CTNNB1,SMC3,?
CTNNB1,TBX3,?
CTNNB1,VEGFD,+
CTNNB1,WNT4A,?
CUX2,CDKN1A,?
DDB2,BCL2,-
DEDD,CFLAR,?
DEDD,FADD,?
DENND4A,ERBB2,-
DLX1A,ARX,+
DLX2A,ARX,+
DLX2A,DLX6A,+
DLX2A,NRP2,-
DLX2A,PAGR1,?
DLX3B,CGA,+
DLX5A,GBX2,?
DLX5A,IGFBP3,?
DLX5A,IRS2,+
DLX5A,KAG9260765.1,+
