,Source,Target,Interaction
462,ATF3,MMP2,-
463,ATF3,PDX1,-
464,ATF3,PENKB,?
465,ATF3,SORT1A,-
466,ATF3,SORT1A,-
467,ATF3,TP53,?
468,ATF4A,ATF3,+
469,ATF4A,ATG5,+
470,ATF4A,BGLAP,?
471,ATF4A,CA9,?
472,ATF4A,CHAC1,+
473,ATF4A,CXCL8A,?
474,ATF4A,DDIT4,+
475,ATF4A,DDR2A,+
476,ATF4A,F7,?
477,ATF4A,FGF19,+
478,ATF4A,HDR,?
479,ATF4A,HSPA5,-
480,ATF4A,IGFBP1A,+
481,ATF4A,IRF7,-
482,ATF4A,LOC111190432,+
483,ATF4A,LOC111190432,+
484,ATF4A,MAP1LC3B,+
485,ATF4A,NDC80,+
486,ATF4A,PLAUB,+
487,ATF4A,PTGS2B,?
488,ATF4A,SIRT1,+
489,ATF4A,TRIB1,+
490,ATF6,ATP2A2A,?
491,ATF6,ATP2A2A,?
492,ATF6,BGLAP,?
493,ATF6,DNAJC3B,+
494,ATF6,DNAJC3B,+
495,ATF6,HSPA5,+
496,ATF6,MAFAA,-
497,ATF6,NR0B2A,+
498,ATF6,NUCB1,+
499,ATF6,PDX1,-
500,ATF6,SRFB,?
501,ATF6,STARD4,+
502,ATF6,WBP1,+
503,ATF6,XBP1,?
504,ATM,APLF,?
505,ATM,BCL2B,-
506,ATM,BCL2B,-
507,ATM,CDKN1D,?
508,ATM,CDKN1D,?
509,ATM,DUSP1,+
510,ATM,GADD45AB,+
511,ATM,HDR,-
512,ATM,INSRA,?
513,ATM,INSRA,?
514,ATM,LOC103047016,+
515,ATM,MTF1,?
516,ATM,PBK,?
517,ATM,PCNA,?
518,ATM,LOC103037103,-
519,ATM,SLC2A1A,-
520,ATM,SP1,-
521,ATRX,LOC103025029,-
522,ATRX,LOC103025029,-
523,ATRX,LOC103025029,-
524,ATRX,LOC103025029,-
525,ATRX,LOC103025029,-
526,ATRX,LOC103025029,-
527,ATRX,LOC103025029,-
528,BACH2B,BCL2B,?
529,BACH2B,BCL2B,?
530,BACH2B,PRDM1A,-
531,BACH2B,XBP1,-
