Source,Target,Interaction
ARNT2,TENM3,?
ARNT2,TENM3,?
ARNT2,TENM3,?
ARNT2,TIA1L,?
ARNT2,TIA1L,?
ARNT2,TLE3B,?
ARNT2,TLE3B,?
ARNT2,TRIM24,?
ARNT2,TRIM24,?
ARNT2,TRIOA,?
ARNT2,TRIOA,?
ARNT2,UGDH,?
ARNT2,USP7,?
ARNT2,USP9,?
ARNT2,FYNA,?
ARNT2,FYNA,?
ARNT2,ZGC:110158,?
ARNT2,ZRANB1B,?
ARNT2,ZRANB1B,?
ARNTL1A,RPL13A,?
ARNTL1A,RPS5,?
ARNTL1A,SLC7A5,?
ARNTL1A,U2AF2B,?
ARNTL1A,U2AF2B,?
ARNTL1A,RPL13A,?
ARNTL1A,RPS5,?
ARNTL1A,SLC7A5,?
ARNTL1A,U2AF2B,?
ARNTL1A,U2AF2B,?
ARXA,KDM5C,?
ARXA,LMO1,?
ARXA,PAX4,?
ARXA,SHHA,+
ARXA,SHHA,+
ARXA,SHOX2,?
ASCL1A,CDKN2D,+
ASCL1A,DKK1B,-
ASCL1A,DLC,?
ASCL1A,DLL4,+
ASCL1A,IGF2B,-
ASCL1A,IGF2B,-
ASCL1A,LOC103021440,+
ASCL1A,PDGFRA,+
ASCL1A,PHOX2A,+
ASCL1A,LOC103021440,+
ASCL1A,TPH1A,-
ASCL1A,TPH2,+
ASH1L,TGFB1A,?
ASH1L,TGFB1A,?
ATF2,ATF3,+
ATF2,CCND1,+
ATF2,CDKN1D,?
ATF2,CDKN1D,?
ATF2,DUSP1,?
ATF2,DUSP10,?
ATF2,FASLG,?
ATF2,INS,+
ATF2,ITGB8,?
ATF2,JUND,+
ATF2,KAT5B,-
ATF2,LOC103026652,?
ATF2,MAP3K1,?
ATF2,MMP2,+
ATF2,PCK1,+
ATF2,PCK2,?
ATF2,PLAUB,?
ATF2,POLB,+
ATF2,PTGS2B,?
ATF2,RELA,+
ATF2,TGFB2,-
ATF2,TNFA,+
ATF2,TNFA,+
ATF3,ADIPOR1B,-
ATF3,ADIPOR1B,-
ATF3,ADIPOR2,-
ATF3,AK4,?
ATF3,ATF3,-
ATF3,CCND1,+
ATF3,CD82A,?
ATF3,CD82B,?
ATF3,GCK,?
ATF3,ID1,-
ATF3,LDLRA,-
ATF3,LOC111190432,+
ATF3,LOC111190432,+
ATF3,MMP2,-
ATF3,PDX1,-
ATF3,PENKB,?
ATF3,SORT1A,-
ATF3,SORT1A,-
ATF3,TP53,?
ATF4A,ATF3,+
ATF4A,ATG5,+
ATF4A,BGLAP,?
ATF4A,CA9,?
ATF4A,CHAC1,+
ATF4A,CXCL8A,?
ATF4A,DDIT4,+
ATF4A,DDR2A,+
ATF4A,F7,?
ATF4A,FGF19,+
ATF4A,HDR,?
ATF4A,HSPA5,-
ATF4A,IGFBP1A,+
ATF4A,IRF7,-
ATF4A,LOC111190432,+
ATF4A,LOC111190432,+
ATF4A,MAP1LC3B,+
ATF4A,NDC80,+
ATF4A,PLAUB,+
ATF4A,PTGS2B,?
ATF4A,SIRT1,+
ATF4A,TRIB1,+
ATF6,ATP2A2A,?
ATF6,ATP2A2A,?
ATF6,BGLAP,?
ATF6,DNAJC3B,+
ATF6,DNAJC3B,+
ATF6,HSPA5,+
ATF6,MAFAA,-
ATF6,NR0B2A,+
ATF6,NUCB1,+
ATF6,PDX1,-
ATF6,SRFB,?
