,Source,Target,Interaction
6108,KAG9277462.1,KAG9278909.1,?
6112,KAG9277462.1,KAG9266546.1,?
6114,KAG9277462.1,KAG9280525.1,?
6116,KAG9277462.1,KAG9271101.1,?
6117,KAG9277462.1,KAG9280552.1,?
6119,KAG9277462.1,KAG9282482.1,?
6121,KAG9277462.1,KAG9274501.1,?
6122,KAG9277462.1,KAG9267311.1,?
6123,KAG9277462.1,KAG9272637.1,?
6124,KAG9277462.1,KAG9279317.1,?
6125,KAG9277462.1,KAG9263768.1,?
6126,KAG9277462.1,KAG9266571.1,?
6127,KAG9277462.1,KAG9276739.1,?
6130,KAG9277462.1,KAG9274158.1,?
6132,KAG9277462.1,KAG9279527.1,?
6136,KAG9277462.1,KAG9273502.1,?
6138,KAG9277462.1,KAG9268247.1,?
6139,KAG9277462.1,KAG9275483.1,?
6142,KAG9277462.1,KAG9282991.1,?
6143,KAG9277462.1,KAG9266932.1,?
6144,KAG9277462.1,KAG9271613.1,?
6145,KAG9277462.1,KAG9268494.1,?
6150,KAG9277462.1,KAG9268887.1,?
6153,KAG9277462.1,KAG9262988.1,?
6155,KAG9277462.1,KAG9268193.1,?
6157,KAG9277462.1,KAG9280857.1,?
6161,KAG9277462.1,KAG9274481.1,?
6162,KAG9277462.1,KAG9277837.1,?
6163,KAG9277462.1,KAG9266175.1,?
6167,KAG9277462.1,KAG9278562.1,?
6168,KAG9277462.1,KAG9264331.1,?
6172,KAG9277462.1,KAG9277474.1,?
6176,KAG9277462.1,KAG9270429.1,?
6177,KAG9277462.1,KAG9263083.1,?
6178,KAG9277462.1,KAG9260309.1,?
6180,KAG9277462.1,KAG9276532.1,?
6183,KAG9277462.1,KAG9279213.1,?
6185,KAG9277462.1,KAG9259538.1,?
6186,KAG9277462.1,KAG9274150.1,?
6188,KAG9277462.1,KAG9269962.1,?
6191,KAG9277462.1,KAG9283455.1,?
6192,KAG9277462.1,KAG9271661.1,?
6195,KAG9277462.1,KAG9279925.1,?
6197,KAG9277462.1,KAG9267132.1,?
6198,KAG9277462.1,KAG9266274.1,?
6205,KAG9277462.1,KAG9268742.1,?
6210,KAG9277462.1,KAG9283094.1,?
6213,KAG9277462.1,KAG9282801.1,?
6214,KAG9277462.1,KAG9274094.1,?
6215,KAG9277462.1,KAG9266005.1,?
6217,KAG9277462.1,KAG9271436.1,?
6220,KAG9277462.1,KAG9260499.1,?
6222,KAG9277462.1,KAG9266781.1,?
6224,KAG9277462.1,KAG9264742.1,?
6225,KAG9277462.1,KAG9274387.1,?
6227,KAG9277462.1,KAG9272391.1,?
6228,KAG9277462.1,KAG9260647.1,?
6229,KAG9277462.1,KAG9273012.1,?
6231,KAG9277462.1,KAG9272106.1,?
6232,KAG9277462.1,KAG9266800.1,?
6235,KAG9277462.1,KAG9269993.1,?
6236,KAG9277462.1,KAG9281723.1,?
6237,KAG9277462.1,KAG9273475.1,?
6238,KAG9277462.1,KAG9263053.1,?
6239,KAG9277462.1,KAG9263703.1,?
6241,KAG9277462.1,KAG9267198.1,?
6243,KAG9277462.1,KAG9266329.1,?
6246,KAG9277462.1,KAG9268132.1,?
6250,KAG9277462.1,KAG9273335.1,?
6251,KAG9277462.1,KAG9274933.1,?
6252,KAG9277462.1,KAG9275426.1,?
6253,KAG9277462.1,KAG9283859.1,?
6257,KAG9277462.1,KAG9274020.1,?
6258,KAG9277462.1,KAG9280823.1,?
6260,KAG9277462.1,KAG9268455.1,?
6264,KAG9277462.1,KAG9262430.1,?
6266,KAG9277462.1,KAG9275052.1,?
6267,KAG9277462.1,KAG9265201.1,?
6268,KAG9277462.1,KAG9280709.1,?
6269,KAG9277462.1,KAG9265382.1,?
6270,KAG9277462.1,KAG9260118.1,?
6271,KAG9277462.1,KAG9268936.1,?
6274,KAG9277462.1,KAG9262992.1,?
6279,KAG9277462.1,KAG9275077.1,?
6280,KAG9277462.1,KAG9263486.1,?
6281,KAG9277462.1,KAG9274001.1,?
6282,KAG9277462.1,KAG9270064.1,?
6283,KAG9277462.1,KAG9273768.1,?
6285,KAG9277462.1,KAG9260724.1,?
6286,KAG9277462.1,KAG9264254.1,?
6287,KAG9277462.1,KAG9263884.1,?
6290,KAG9277462.1,KAG9279482.1,?
6294,KAG9277462.1,KAG9265027.1,?
6297,KAG9277462.1,KAG9267250.1,?
6302,KAG9277462.1,KAG9271182.1,?
6306,KAG9277462.1,KAG9277206.1,?
6310,KAG9277462.1,KAG9279771.1,?
6311,KAG9277462.1,KAG9261718.1,?
6312,KAG9277462.1,KAG9267447.1,?
6313,KAG9277462.1,KAG9277225.1,?
6315,KAG9277462.1,KAG9270705.1,?
6318,KAG9277462.1,KAG9273864.1,?
6321,KAG9277462.1,KAG9276257.1,?
6322,KAG9277462.1,KAG9282824.1,?
6323,KAG9277462.1,KAG9262279.1,?
6326,KAG9277462.1,KAG9272469.1,?
6330,KAG9269814.1,KAG9280754.1,?
6331,KAG9269814.1,KAG9260647.1,?
6510,KAG9282353.1,KAG9274997.1,?
6511,KAG9282353.1,KAG9275367.1,?
6513,KAG9282353.1,KAG9270538.1,?
6528,KAG9282353.1,KAG9268598.1,?
6535,KAG9282353.1,KAG9270667.1,?
6542,KAG9282353.1,KAG9271121.1,?
6545,KAG9282353.1,KAG9283802.1,?
6608,KAG9271118.1,KAG9274386.1,?
6617,KAG9271118.1,KAG9259988.1,?
6619,KAG9271118.1,KAG9262113.1,?
6622,KAG9276913.1,KAG9276913.1,?
7421,KAG9272637.1,KAG9267157.1,?
7422,KAG9272637.1,KAG9266679.1,?
7423,KAG9272637.1,KAG9273919.1,?
7424,KAG9272637.1,KAG9268876.1,?
7426,KAG9272637.1,KAG9263822.1,?
7427,KAG9272637.1,KAG9272066.1,?
7429,KAG9272637.1,KAG9280577.1,?
7432,KAG9272637.1,KAG9278225.1,?
7440,KAG9272637.1,KAG9273063.1,?
7448,KAG9272637.1,KAG9269785.1,?
7450,KAG9272637.1,KAG9271005.1,?
7454,KAG9272637.1,KAG9269430.1,?
7455,KAG9272637.1,KAG9279860.1,?
7481,KAG9272637.1,KAG9272752.1,?
7486,KAG9272637.1,KAG9268765.1,?
7493,KAG9272637.1,KAG9280924.1,?
7495,KAG9272637.1,KAG9279651.1,?
7520,KAG9272637.1,KAG9275167.1,?
7523,KAG9272637.1,KAG9280669.1,?
7530,KAG9272637.1,KAG9276965.1,?
7532,KAG9272637.1,KAG9282582.1,?
7544,KAG9272637.1,KAG9277268.1,?
7546,KAG9272637.1,KAG9272545.1,?
7549,KAG9272637.1,KAG9262977.1,?
7555,KAG9272637.1,KAG9262278.1,?
7558,KAG9272637.1,KAG9269533.1,?
7570,KAG9272637.1,KAG9263281.1,?
7584,KAG9272637.1,KAG9260710.1,?
7593,KAG9272637.1,KAG9267036.1,?
7594,KAG9272637.1,KAG9272082.1,?
7596,KAG9272637.1,KAG9283039.1,?
7597,KAG9272637.1,KAG9269470.1,?
7598,KAG9272637.1,KAG9279307.1,?
7601,KAG9272637.1,KAG9273183.1,?
7605,KAG9272637.1,KAG9272194.1,?
7607,KAG9272637.1,KAG9263702.1,?
7608,KAG9272637.1,KAG9278617.1,?
7611,KAG9272637.1,KAG9273191.1,?
7612,KAG9272637.1,KAG9266577.1,?
7613,KAG9272637.1,KAG9279147.1,?
7615,KAG9272637.1,KAG9266470.1,?
7618,KAG9272637.1,KAG9282529.1,?
7619,KAG9272637.1,KAG9278789.1,?
7621,KAG9272637.1,KAG9270997.1,?
7622,KAG9272637.1,KAG9275953.1,?
