Source,Target,Interaction
AC,MOB2,?
AC,MOD,?
AC,MRPL1,?
AC,MRPL24,?
AC,MSR-110,?
AC,MYS45A,?
AC,NET,?
AC,NNP-1,?
AC,NOPP140,?
AC,NOTUM,?
AC,NS1,?
AC,NVY,?
AC,OATP74D,?
AC,ODD,?
AC,OTK,?
AC,PDI,?
AC,PEN-2,?
AC,PEN,?
AC,PIT,?
AC,PPOX,?
AC,RAD,?
AC,RBM13,?
AC,RBP6,?
AC,RBP9,?
AC,REG,?
AC,RPI135,?
AC,RS1,?
AC,SAMUEL,?
AC,SAS10,?
AC,SB,?
AC,SC,?
AC,SCOX,?
AC,SEMA-1A,?
AC,SER,?
AC,SESB,?
AC,SHEP,?
AC,SIDE,?
AC,SKI6,?
AC,SLOW,?
AC,SM,?
AC,SOB,?
AC,SOG,?
AC,SPDS,?
AC,SS,?
AC,STET,?
AC,STJ,?
AC,SU(FU),?
AC,TEH1,?
AC,TFAM,?
AC,TKV,?
AC,TOK,?
AC,TOW,?
AC,TRP1,?
AC,TSP,?
AC,U3-55K,?
AC,UBCD10,?
AC,UNC79,?
AC,WCD,?
AC,WNT2,?
AC,WNT6,?
ADF1,AGO,?
ADF1,ARGK,?
ADF1,CG10260,?
ADF1,CG30122,?
ADF1,CG33275,?
ADF1,CG34401,?
ADF1,CG4266,?
ADF1,CG6983,?
ADF1,CG7326,?
ADF1,CHER,?
ADF1,CV-C,?
ADF1,DOM,?
ADF1,EFF,?
ADF1,EIP74EF,?
ADF1,ENC,?
ADF1,E(PC),?
ADF1,FZ2,?
ADF1,KIS,?
ADF1,LID,?
ADF1,OLF413,?
ADF1,OSA,?
ADF1,RANBPM,?
ADF1,ROK,?
ADF1,SLI,?
ADF1,TAI,?
ADF1,TLK,?
ADF1,TOU,?
ADF1,WTS,?
AEF1,AEF1,?
AEF1,AMUN,?
AEF1,APKC,?
AEF1,BAZ,?
AEF1,B-H1,?
AEF1,B-H2,?
AEF1,BIF,?
AEF1,BR,?
AEF1,CG10188,?
AEF1,CG10492,?
AEF1,CG10777,?
AEF1,CG12424,?
AEF1,CG13300,?
AEF1,CG1347,?
AEF1,CG14322,?
AEF1,CG30183,?
AEF1,CG31158,?
AEF1,CG31908,?
AEF1,CG3407,?
AEF1,CG34401,?
AEF1,CG3631,?
AEF1,CG42574,?
AEF1,CG42673,?
AEF1,CG4674,?
AEF1,CG8538,?
AEF1,CG8552,?
AEF1,CG8949,?
AEF1,CHB,?
AEF1,CNK,?
AEF1,CORTO,?
AEF1,CR33328,?
AEF1,CROL,?
AEF1,CUL-3,?
AEF1,CUL-5,?
AEF1,DIKAR,?
AEF1,DL,?
AEF1,E2F,?
AEF1,ED,?
AEF1,EIF5B,?
AEF1,E(PC),?
AEF1,E(Y)3,?
AEF1,FAF,?
AEF1,FAX,?
AEF1,FDL,?
AEF1,FMR1,?
AEF1,GEF26,?
AEF1,GRH,?
AEF1,GUG,?
AEF1,HOW,?
AEF1,HRG,?
AEF1,INX2,?
AEF1,LAP1,?
AEF1,LIG,?
AEF1,MI-2,?
AEF1,MIRR,?
AEF1,MNN1,?
AEF1,MRTF,?
AEF1,NOC,?
AEF1,OLF413,?
AEF1,ORB2,?
AEF1,PDE8,?
AEF1,PK92B,?
AEF1,PKN,?
AEF1,PP2B-14D,?
AEF1,PPA,?
AEF1,RGN,?
AEF1,RHOGAP71E,?
AEF1,ROBO,?
AEF1,ROK,?
AEF1,SEC16,?
AEF1,SEMA-1B,?
AEF1,SIN3A,?
AEF1,SLI,?
AEF1,SQD,?
AEF1,SRPK,?
AEF1,SSDP,?
AEF1,SSP3,?
AEF1,TLK,?
AEF1,TM1,?
AEF1,TWS,?
AEF1,W,?
AEF1,WTS,?
AEF1,YATA,?
AL,AB,?
AL,AC,?
AL,AL,?
AL,C15,?
AL,CDA4,?
AL,CG11334,?
AL,CG12708,?
AL,CG12880,?
AL,CG1354,?
AL,CG14132,?
AL,CG14984,?
AL,CG31121,?
AL,CG42741,?
AL,CG4766,?
AL,DLL,?
AL,DOC1,?
AL,E5,?
AL,FNG,?
AL,KAL-1,?
AL,KNRL,?
AL,LEA,?
AL,MAB-21,?
AL,NOTUM,?
AL,PNR,?
AL,SOB,?
AL,TSP,?
AL,WNT6,?
AOP,ABL,?
AOP,A,?
AOP,AKAP200,?
AOP,ALH,?
AOP,ALPHA-SPEC,?
AOP,ANTP,?
AOP,AOP,?
AOP,ASPP,?
AOP,BABO,?
AOP,BAZ,?
AOP,BBG,?
AOP,BEAT-IIIC,?
AOP,BETATUB60D,?
AOP,B-H1,?
AOP,B-H2,?
AOP,BIB,?
AOP,BL,?
AOP,BLOT,?
AOP,BNL,?
AOP,BOSS,?
AOP,BOWL,?
AOP,CAD74A,?
AOP,CAD87A,?
AOP,CAD96CB,?
AOP,CAMTA,?
AOP,CDC14,?
AOP,CDGAPR,?
AOP,CG10211,?
AOP,CG10283,?
AOP,CG10936,?
AOP,CG11073,?
AOP,CG11134,?
AOP,CG11486,?
AOP,CG11966,?
AOP,CG12075,?
AOP,CG12207,?
AOP,CG12964,?
AOP,CG13188,?
AOP,CG13300,?
AOP,CG13800,?
AOP,CG13917,?
AOP,CG13966,?
AOP,CG1399,?
AOP,CG14023,?
AOP,CG14073,?
AOP,CG14471,?
AOP,CG14478,?
AOP,CG15365,?
AOP,CG15822,?
AOP,CG1677,?
AOP,CG17265,?
AOP,CG17672,?
AOP,CG17680,?
AOP,CG17786,?
AOP,CG17816,?
AOP,CG2162,?
AOP,CG2865,?
AOP,CG2924,?
AOP,CG30115,?
AOP,CG30463,?
AOP,CG30497,?
